U+291C \rightdbltail
U+D4CF \scrz
U+D726 \bfitLambda
U+25FA \lltriangle
U+2A4C \closedvarcup
U+D4CA \scru
U+D7BB \bfitsansvarsigma
U+0334 \textsuperimposetilde
U+2AAC \smte
U+2026 \dots
U+2332 \conictaper
U+005F \textunderscore
U+026A \textsci
U+2A4B \twocaps
U+026D \textrtaill
U+D403 \bfD
U+0310 \candra
U+24BC \circledG
U+D51E \fraka
U+D5B5 \sansV
U+D6B2 \bfLambda
U+2081 \subone
U+D75A \bfsansEpsilon
U+25B9 \smalltriangleright
U+24DD \circledn
U+2084 \subfour
U+D7E6 \sansfour
U+D5A8 \sansI
U+D4FF \bfscrv
U+2268 \lneqq
U+22DD \eqgtr
U+2936 \leftdowncurvedarrow
U+D7E8 \sanssix
U+D431 \bfx
U+D54B \BbbT
U+29D6 \hourglass
U+25C9 \fisheye
U+03DC \upDigamma
U+D62A \itsansi
U+D49B \bfitz
U+D4D3 \bfscrD
U+D44E \ita
U+294A \leftrightharpoonupdown
U+2663 \clubsuit
U+0264 \textramshorns
U+0332 \textsubline
U+D41E \bfe
U+D56F \bffrakD
U+215E \fracseveneights
U+D42D \bft
U+D652 \bfitsansW
U+2212 \minus
U+D7CF \bfone
U+2353 \APLboxupcaret
U+2271 \ngeq
U+21C8 \upuparrows
U+D4A8 \scrM
U+D7C5 \bfitsansvartheta
U+D648 \bfitsansM
U+25CC \dottedcircle
U+D6C0 \bfOmega
U+2464 \circledfive
U+D460 \its
U+2AD8 \supdsub
U+D5F5 \bfsansh
U+25AB \smwhtsquare
U+25F5 \circlellquad
U+02A4 \textdyoghlig
U+301B \rBrack
U+D558 \Bbbg
U+22E9 \succnsim
U+D50D \frakJ
U+028C \textturnv
U+D631 \itsansp
U+D55A \Bbbi
U+29FD \rcurvyangle
U+D6A0 \ttw
U+23A1 \lbrackuend
U+29FB \tripleplus
U+2904 \nvLeftrightarrow
U+D681 \ttR
U+27F5 \longleftarrow
U+231C \ulcorner
U+2983 \lBrace
U+D6F1 \itPi
U+25A9 \squaregrayfill
U+20A7 \textpesetas
U+03B5 \upvarepsilon
U+D4EF \bfscrf
U+25C4 \blackpointerleft
U+29BD \uparrowoncircle
U+D4C8 \scrs
U+028D \textturnw
U+D4C5 \scrp
U+2ABC \Succ
U+D53E \BbbG
U+D4B6 \scra
U+2B20 \pentagon
U+225E \measeq
U+220D \smallni
U+27E5 \whitesquaretickright
U+D5C7 \sansn
U+27FB \longmapsfrom
U+2A84 \gesdotol
U+223F \sinewave
U+24BD \circledH
U+D751 \bfitvartheta
U+D7B5 \bfitsansmu
U+D595 \bffrakp
U+D6D0 \bfomicron
U+2A53 \Wedge
U+200D \zwjoin
U+297E \upfishtail
U+D584 \bffrakY
U+2941 \cwcirclearrow
U+03B8 \texttheta
U+D543 \BbbL
U+D6E1 \bfvarpi
U+D619 \itsansR
U+00D8 \O
U+D42F \bfv
U+27DD \vlongdash
U+D59A \bffraku
U+2AF6 \threedotcolon
U+D530 \fraks
U+22ED \ntrianglerighteq
U+21D2 \Rightarrow
U+25B6 \blacktriangleright
U+255A \bduVrH
U+2206 \increment
U+D71C \bfitAlpha
U+2782 \circledsansthree
U+290C \leftbkarrow
U+2143 \sansLinverted
U+D758 \bfsansGamma
U+D650 \bfitsansU
U+02E7 \tonebarmid
U+29F8 \xsol
U+FE36 \underparen
U+D426 \bfm
U+D7F3 \bfsansseven
U+2933 \rightcurvedarrow
U+2978 \gtrarr
U+0292 \textyogh
U+2A8C \gtreqqless
